current image 0 PSNR : 36.47762592479788    SSIM : 0.9439320797879497    HFEN : 0.3689770996570587
current image 1 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 2 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 3 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 4 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 5 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 6 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 7 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 8 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 9 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 10 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 11 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 12 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 13 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 14 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 15 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 16 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 17 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 18 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 19 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 20 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 21 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 22 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 23 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 24 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 25 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 26 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 27 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 28 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 29 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 30 PSNR : 0.0    SSIM : 0.0    HFEN : 0.0
current image 31 PSNR : 1.1766976104773508    SSIM : 0.030449421928643538    HFEN : 0.011902487085711571
