iter : 0  psnr : 28.664597569924283  ssim : 0.7904281246797569
iter : 1  psnr : 28.675572684473053  ssim : 0.7901929939180691
iter : 2  psnr : 28.69210987016675  ssim : 0.7911493206421052
iter : 3  psnr : 28.60908468469242  ssim : 0.7873396869012407
iter : 4  psnr : 28.578414029368716  ssim : 0.786153607611444
iter : 5  psnr : 28.61856880462809  ssim : 0.78741379693432
iter : 6  psnr : 28.58438629085326  ssim : 0.7859685990282508
iter : 7  psnr : 28.556750610312086  ssim : 0.7845324253059337
iter : 8  psnr : 28.53715373532243  ssim : 0.783960900100651
iter : 9  psnr : 28.64121179602574  ssim : 0.7874959884300994
iter : 10  psnr : 28.69665940488798  ssim : 0.788806244877465
iter : 11  psnr : 28.800395552601856  ssim : 0.7926516924768077
iter : 12  psnr : 28.868388458194264  ssim : 0.7947730087384686
iter : 13  psnr : 28.965913368564262  ssim : 0.79827920837516
iter : 14  psnr : 29.218704837569796  ssim : 0.8075796371145683
iter : 15  psnr : 29.588889358948677  ssim : 0.8192106088628778
iter : 16  psnr : 29.937036655639684  ssim : 0.8281496340018322
iter : 17  psnr : 30.18643260811446  ssim : 0.8341815367808834
iter : 18  psnr : 30.403479433601387  ssim : 0.839939441003549
iter : 19  psnr : 30.560607544424773  ssim : 0.8432419204083217
iter : 20  psnr : 30.64410633688988  ssim : 0.8445781904994324
iter : 21  psnr : 30.703553125912578  ssim : 0.845751369398914
iter : 22  psnr : 30.74726334822351  ssim : 0.8471907726198213
iter : 23  psnr : 30.797722195182892  ssim : 0.8491476414698383
iter : 24  psnr : 30.874722209895644  ssim : 0.851763778590374
iter : 25  psnr : 30.95358940561266  ssim : 0.8542516786515547
iter : 26  psnr : 31.02947496169087  ssim : 0.856481314361577
iter : 27  psnr : 31.10931325193095  ssim : 0.8586976699312869
iter : 28  psnr : 31.18438330097044  ssim : 0.860763778358347
iter : 29  psnr : 31.252375127818656  ssim : 0.8626245483723127
iter : 30  psnr : 31.317348937705628  ssim : 0.864384477064797
iter : 31  psnr : 31.373624666365146  ssim : 0.8659228335237391
iter : 32  psnr : 31.421831646175335  ssim : 0.8672579116445689
iter : 33  psnr : 31.46150339802874  ssim : 0.868374094355188
iter : 34  psnr : 31.498015057549008  ssim : 0.8693960583957651
iter : 35  psnr : 31.530348606088296  ssim : 0.8703000875248645
iter : 36  psnr : 31.555315717544843  ssim : 0.8709805378268516
iter : 37  psnr : 31.57715723023118  ssim : 0.8715639877597955
iter : 38  psnr : 31.596628882789627  ssim : 0.8720870446054172
iter : 39  psnr : 31.612885999051848  ssim : 0.8725270424124218
iter : 40  psnr : 31.62599522591141  ssim : 0.8728922648293839
iter : 41  psnr : 31.638547888342163  ssim : 0.8732470071780053
iter : 42  psnr : 31.65046806785633  ssim : 0.8735798722714058
iter : 43  psnr : 31.660904286520708  ssim : 0.873875091854393
iter : 44  psnr : 31.669710551367277  ssim : 0.8741175484173237
iter : 45  psnr : 31.67703385649503  ssim : 0.8743138356552062
iter : 46  psnr : 31.684344534187034  ssim : 0.8745056156380493
iter : 47  psnr : 31.691242921949694  ssim : 0.8746925320632657
iter : 48  psnr : 31.69710259175284  ssim : 0.874856673443049
iter : 49  psnr : 31.702372122697653  ssim : 0.8750077858785665
iter : 50  psnr : 31.707202883004562  ssim : 0.8751563977392348
iter : 51  psnr : 31.711157338121588  ssim : 0.875282837407286
iter : 52  psnr : 31.71395391974211  ssim : 0.8753770010102234
iter : 53  psnr : 31.717143023867436  ssim : 0.8754752341084401
iter : 54  psnr : 31.720318334523675  ssim : 0.8755682024990085
iter : 55  psnr : 31.72341547915834  ssim : 0.87565854550555
iter : 56  psnr : 31.726161033715314  ssim : 0.8757341041985474
iter : 57  psnr : 31.728419661015828  ssim : 0.8757905704533089
iter : 58  psnr : 31.730531488458084  ssim : 0.8758407491431652
iter : 59  psnr : 31.732664951927116  ssim : 0.8758977154598341
iter : 60  psnr : 31.734708926737003  ssim : 0.8759600746752871
iter : 61  psnr : 31.73663311049978  ssim : 0.8760145923422336
iter : 62  psnr : 31.73847722665803  ssim : 0.8760557763589092
iter : 63  psnr : 31.73973082792298  ssim : 0.8760800570454749
iter : 64  psnr : 31.74095088381496  ssim : 0.8761032393599654
iter : 65  psnr : 31.742215113563592  ssim : 0.8761311151377887
iter : 66  psnr : 31.743386539029636  ssim : 0.8761531419259825
iter : 67  psnr : 31.744264218057  ssim : 0.8761668008800484
iter : 68  psnr : 31.74481933864366  ssim : 0.8761795824103782
iter : 69  psnr : 31.74527652367469  ssim : 0.8761931426531069
iter : 70  psnr : 31.74584751528559  ssim : 0.8762072689062659
iter : 71  psnr : 31.74632964839306  ssim : 0.8762185603375262
iter : 72  psnr : 31.74662245449186  ssim : 0.8762254111684441
iter : 73  psnr : 31.746911792057194  ssim : 0.8762342443424517
iter : 74  psnr : 31.747162294054114  ssim : 0.8762455087287381
iter : 75  psnr : 31.74733434411881  ssim : 0.8762545783116894
iter : 76  psnr : 31.747359008152237  ssim : 0.8762558843968303
iter : 77  psnr : 31.747276698946013  ssim : 0.8762537118769372
iter : 78  psnr : 31.74722009165891  ssim : 0.8762522763721952
iter : 79  psnr : 31.747333149930395  ssim : 0.876255216470657
iter : 80  psnr : 31.747670010118743  ssim : 0.8762658898862725
iter : 81  psnr : 31.748029154812286  ssim : 0.8762779349408006
iter : 82  psnr : 31.747902578964712  ssim : 0.8762760500666047
iter : 83  psnr : 31.74774257475127  ssim : 0.8762704997786317
iter : 84  psnr : 31.747800910798883  ssim : 0.8762699246011716
iter : 85  psnr : 31.747817877054008  ssim : 0.8762724206542791
iter : 86  psnr : 31.74780600174949  ssim : 0.8762727427263102
iter : 87  psnr : 31.74772216626259  ssim : 0.8762683141152188
iter : 88  psnr : 31.747705739846964  ssim : 0.8762669379487394
iter : 89  psnr : 31.74751964641036  ssim : 0.8762636750073687
iter : 90  psnr : 31.74714440866136  ssim : 0.8762588830747767
iter : 91  psnr : 31.746634009472288  ssim : 0.8762502090581327
iter : 92  psnr : 31.746219942998795  ssim : 0.8762423072007721
iter : 93  psnr : 31.745744450003706  ssim : 0.8762314794698959
iter : 94  psnr : 31.745204407334718  ssim : 0.8762188692304848
iter : 95  psnr : 31.744866969546838  ssim : 0.8762090306310945
iter : 96  psnr : 31.744774836511368  ssim : 0.8762009073400183
iter : 97  psnr : 31.744761125363745  ssim : 0.8761967756141833
iter : 98  psnr : 31.744733286345888  ssim : 0.8761938339072086
iter : 99  psnr : 31.744595362298618  ssim : 0.8761907900716115
iter : 100  psnr : 31.744551730802606  ssim : 0.876191267028417
iter : 101  psnr : 31.7443720335525  ssim : 0.8761873550688337
iter : 102  psnr : 31.744019387316136  ssim : 0.8761780159708303
iter : 103  psnr : 31.743699117484674  ssim : 0.8761687368936243
iter : 104  psnr : 31.743498931541506  ssim : 0.8761614456052942
iter : 105  psnr : 31.74352498153693  ssim : 0.8761598180075107
iter : 106  psnr : 31.74351398507713  ssim : 0.8761573056335928
iter : 107  psnr : 31.743413183881223  ssim : 0.8761542084134509
iter : 108  psnr : 31.743263968614983  ssim : 0.8761500601725642
iter : 109  psnr : 31.74305413447972  ssim : 0.8761434860288008
iter : 110  psnr : 31.742631876011792  ssim : 0.8761325578346569
iter : 111  psnr : 31.742147306166796  ssim : 0.8761187154007738
iter : 112  psnr : 31.74172138702646  ssim : 0.8761060387929961
iter : 113  psnr : 31.74130029506509  ssim : 0.8760915386057333
iter : 114  psnr : 31.740717591526973  ssim : 0.8760730762050427
iter : 115  psnr : 31.74016188309738  ssim : 0.8760573239887347
iter : 116  psnr : 31.739645837332738  ssim : 0.8760428095404473
iter : 117  psnr : 31.739163654739567  ssim : 0.876028942121366
iter : 118  psnr : 31.738623294574296  ssim : 0.8760166138672297
iter : 119  psnr : 31.738137428302423  ssim : 0.8760076605978343
